"OBJECT_ID","OWNER","REPOS","HEALTH_SCORE","HEALTH_SCORE_BY_AVERAGING","FORK_RATIO","STAR_RATIO","COMMITS_PER_DAY_RATIO","COMMITS_PER_DAY_PER_PERSON_RATIO","PR_OPEN_TIME_RATIO","PR_MERGE_TIME_RATIO","ISS_OPEN_TIME_RATIO","ISS_CLOSE_TIME_RATIO"
11730342,"vuejs","vue",0,0.2984,0.708556983066108,0.467761813748105,0.055104932478867,0.099732073609251,0.360749106759296,0.016237188688374,0.006184942049023,0.000994843996373
576201,"mrdoob","three.js",0,0.227,0.685943830730339,0.173156264417057,0.388309502822957,0.664668969893534,0.506133903255858,0.046454734994376,0.001904759419974,0.002447414245264
29028775,"facebook","react-native",0,0.2191,0.606572704920871,0.258238318064984,0.421784474507159,0.392723683282803,0.391547071701948,0.009455985635962,0.004308374624218,0.00198080137314
63537249,"facebook","create-react-app",0,0.1939,0.541572878069051,0.226870098200751,0.086519890043599,0.05510117746598,0.153782186724056,0.003495691832917,0.010244396092073,0.003779884443887
27193779,"nodejs","node",0,0.1753,0.486996571666032,0.205229684307652,0.573451760415921,0.752132835084256,0.558056209469112,0.007151763522445,0.004134995061811,0.001731845338579
3228505,"atom","atom",0,0.1587,0.41510544724175,0.161790680814605,0.19466975962784,1,0.214682134779068,0.054575739052602,0.003931587521687,0.003428732283854
36535156,"reduxjs","redux",0,0.1538,0.438930636839007,0.162278389244052,0.024204970945611,0.050059930903194,0.212625230371953,0.005468176647033,0.007512671480468,0.008355774770456
23088740,"axios","axios",0,0.1478,0.171001142777989,0.201179727146906,0.006952491883929,0.020216787703589,0.179161703406448,0.212941342473111,0.027005153240646,0.0062336369399
12670444,"petkaantonov","bluebird",0,0.1457,0.078920940540915,0.060360508798524,0.005536243096325,0.061981361489107,0.347002313922354,0.017083533808154,0.258318758410038,0.426601912831802
3678731,"webpack","webpack",0,0.128,0.215950410361187,0.163273578066302,0.078794898020013,0.176126348445322,0.228167585907545,0.128199196601339,0.00706908843394,0.004419198313215
1129010,"blueimp","jQuery-File-Upload",0,0.1215,0.276379125255394,0.099041059777236,0.005793742799202,0.041616294154974,0.687981057061496,0.004800685858165,0.046130945802303,0.105667330571206
